<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20020314,000000,0.364413,0.36893,0.358019,0.366102,258763892,0
AAPL.US,D,20020315,000000,0.366721,0.374333,0.363531,0.374019,286872251,0
AAPL.US,D,20020318,000000,0.374019,0.375758,0.36469,0.370946,362674887,0
AAPL.US,D,20020319,000000,0.370394,0.37938,0.364413,0.372752,288592754,0
AAPL.US,D,20020320,000000,0.369854,0.376947,0.367379,0.373696,350484634,0
AAPL.US,D,20020321,000000,0.357736,0.364413,0.348828,0.363844,733972300,0
AAPL.US,D,20020322,000000,0.363235,0.368313,0.358019,0.361134,240778517,0
AAPL.US,D,20020325,000000,0.361134,0.361134,0.348532,0.350271,312986720,0
AAPL.US,D,20020326,000000,0.347895,0.354523,0.344898,0.351785,307044929,0
AAPL.US,D,20020327,000000,0.350271,0.355674,0.348828,0.351785,152071967,0
AAPL.US,D,20020328,000000,0.355387,0.358019,0.351785,0.355075,129151881,0
AAPL.US,D,20020401,000000,0.350595,0.370394,0.349112,0.366721,237030765,0
AAPL.US,D,20020402,000000,0.359916,0.364413,0.358019,0.361134,242685715,0
AAPL.US,D,20020403,000000,0.360838,0.367057,0.353896,0.356302,255469573,0
AAPL.US,D,20020404,000000,0.355075,0.375758,0.355075,0.373399,403093601,0
AAPL.US,D,20020405,000000,0.374019,0.377898,0.361389,0.370946,331465538,0
AAPL.US,D,20020408,000000,0.362282,0.3702,0.356665,0.368313,311419612,0
AAPL.US,D,20020409,000000,0.368649,0.374874,0.360232,0.361389,228081371,0
AAPL.US,D,20020410,000000,0.363235,0.374019,0.360232,0.369854,267913285,0
AAPL.US,D,20020411,000000,0.375483,0.377898,0.371258,0.372752,484971358,0
AAPL.US,D,20020412,000000,0.375137,0.377555,0.368649,0.375758,381353823,0
AAPL.US,D,20020415,000000,0.375758,0.376947,0.37182,0.374874,356499659,0
AAPL.US,D,20020416,000000,0.376947,0.389527,0.376632,0.386012,731858413,0
AAPL.US,D,20020417,000000,0.3887,0.392522,0.380658,0.391412,471867417,0
AAPL.US,D,20020418,000000,0.382377,0.382653,0.373088,0.381208,478369444,0
AAPL.US,D,20020419,000000,0.382092,0.382092,0.373696,0.374609,447046744,0
AAPL.US,D,20020422,000000,0.372469,0.373696,0.363531,0.368018,320842427,0
AAPL.US,D,20020423,000000,0.368018,0.371555,0.361134,0.363531,278022968,0
AAPL.US,D,20020424,000000,0.364413,0.367379,0.355075,0.356302,167249864,0
AAPL.US,D,20020425,000000,0.353288,0.365002,0.353288,0.361683,231262376,0
AAPL.US,D,20020426,000000,0.364111,0.365564,0.344898,0.345125,363181761,0
AAPL.US,D,20020429,000000,0.347295,0.360838,0.346048,0.359309,324250122,0
AAPL.US,D,20020430,000000,0.358306,0.365564,0.356302,0.363844,334579851,0
AAPL.US,D,20020501,000000,0.364111,0.364111,0.350271,0.359562,255676295,0
AAPL.US,D,20020502,000000,0.35696,0.365002,0.353896,0.355387,285018371,0
AAPL.US,D,20020503,000000,0.35358,0.360232,0.351195,0.352667,274822018,0
AAPL.US,D,20020506,000000,0.350271,0.352384,0.336728,0.339536,297308733,0
AAPL.US,D,20020507,000000,0.344024,0.344024,0.332004,0.336728,289072865,0
AAPL.US,D,20020508,000000,0.347895,0.367725,0.345419,0.365564,520015181,0
AAPL.US,D,20020509,000000,0.363531,0.365308,0.35696,0.362862,267479870,0
AAPL.US,D,20020510,000000,0.364111,0.364111,0.344664,0.349691,280317006,0
AAPL.US,D,20020513,000000,0.352667,0.361134,0.344024,0.358972,316294382,0
AAPL.US,D,20020514,000000,0.366401,0.385019,0.363235,0.383853,626980445,0
AAPL.US,D,20020515,000000,0.380658,0.389527,0.372469,0.379146,399912713,0
AAPL.US,D,20020516,000000,0.375758,0.381544,0.371258,0.378165,270380648,0
AAPL.US,D,20020517,000000,0.382092,0.386591,0.36893,0.375137,281624082,0
AAPL.US,D,20020520,000000,0.368649,0.373696,0.368018,0.370946,321422624,0
AAPL.US,D,20020521,000000,0.372112,0.374874,0.35091,0.351785,334613193,0
AAPL.US,D,20020522,000000,0.350595,0.365564,0.349691,0.36469,346383378,0
AAPL.US,D,20020523,000000,0.366401,0.378507,0.361134,0.377555,439891249,0
AAPL.US,D,20020524,000000,0.374609,0.374609,0.359309,0.36192,197885714,0
AAPL.US,D,20020528,000000,0.355387,0.362862,0.351195,0.359562,178286537,0
AAPL.US,D,20020529,000000,0.35863,0.366401,0.35151,0.359562,264118847,0
AAPL.US,D,20020530,000000,0.356302,0.365564,0.352667,0.362862,233849774,0
AAPL.US,D,20020531,000000,0.361134,0.363531,0.349112,0.349398,435243231,0
AAPL.US,D,20020603,000000,0.35091,0.35151,0.338684,0.343732,279976906,0
